ཀ་ཅོག་ཞང་གསུམ་,སྐ་ཅོག་ཞང་གསུམ་
མཐོང་ཁ་,མཐོང་ག་
མདན་པ་,ལྡན་པ་
མདའ་གཡབ་,མདའ་ཡབ་
མདའ་མོ་ཆེ་,མདའ་བོ་ཆེ་
མདུང་མོ་,བོད་ཇའམ་ཇ་བསྲུབས་མ་བཟོ་བྱེད་ཀྱི་མདོང་མོ་
མདོག་ཁ་མོ་,མདོག་ཁ་པོ་
མདོངས་གསོལ་,མདོང་གསོལ་
མདོམས་,འདོམས་
མན་ཇུ་,མཉྫུ་
མན་ཛུ་,མཉྫུ་
མནོང་,ནོངས་
མཚགས་,མཚག་
མཚན་དགུང་,མཚན་གུང་
མཚལ་ལུ་,མཚའ་ལུ་
མཚུར་,ཚུར་
མཚུར་མོ་,ཚུར་མོ་
མི་ཕམ་སྐྲའི་ལ་བ་ཅན་,མི་ཕམ་སྐྲའི་ལྭ་བ་ཅན་
མིག་མངས་,མིག་མང་
མིག་རྒྱུ་,སྨིག་རྒྱུ་
མུ་ལྟོ་བ་,མུ་ཏོ་པ་
མུར་བ་,དམུར་བ་
མོ་ཤམ་,མོ་གཤམ་
མོ་ཧྲེངས་,མོ་ཧྲེང་
མོང་རྟུལ་,མོང་བརྟུལ་
མྱག་ཕྲན་,ཉག་ཕྲན་
ཙི་,ཙི་གུ་
ཙིག་གུ་,སྲོག་ཆགས་བྱི་བའམ་ཙི་གུ་
ཚ་ལུམ་,ཚ་ལུ་མ་
ཚམ་ངམ་,ཚམ་རྔམ་
ཚམས་ངམ་,ཚམ་རྔམ་
ཚེམ་,གོས་སོགས་ཁབ་ཀྱིས་བཟོས་པའི་དོན་གྱི་འཚེམ་
ཚོ་པ་,ཚོ་བ་
ཝལ་ལེ་,ཝ་ལེ་
ཞ་,སྒོ་ཕྱུགས་ཀྱི་སྐྱེ་འཕེལ་གྱི་དབང་པོ་ཉམས་པར་བྱེད་པའི་ཕྱ་
ཞལ་ཏ་བ་,ཞལ་ཏ་པ་
ཞི་ལ་,བྱི་ལ་
ཞིལ་,བྱིལ་
ཞེང་ག་,ཞེང་ཁ་
ཟ་,འཕྲོ་བརླག་ཏུ་ཕྱིན་པའི་དོན་གྱི་འཛའ་ཡི་མ་འོངས་པ་
ཟ་ཚོ་,བཟའ་ཚོ་
ཟིལ་དངར་,ཟིལ་མངར་
ཟུད་,ནང་དུ་བཅུག་པའི་དོན་བཙུད་ཀྱི་སྐུལ་ཚིག་
ཟེ་མ་,གཟི་མ་
ཟེད་,ཟེལ་
ཟེམ་,སེམས་ཆུང་བྱེད་པའི་དོན་འཛེམ་
ཟོས་པ་,བཟས་པ་
འཁལ་,འཁེལ་
འཁུ་འཁྲིག་,འཁུ་འཕྲིག་
འཁེགས་,ཁེགས་
འཁེབ་,ཁེབ་
འཁོད་,བཀོད་ཀྱི་སྐུལ་ཚིག་
འཁོས་ཁ་,འཁོས་ཀ་
འཁྱིད་,མཁྱིད་
འཁྲོ་,ཁྲོ་ཡི་ད་ལྟ་བ་
འཁྲོས་,ཞེ་སྡང་ལངས་པའི་དོན་གྱི་ཁྲོ་ཡི་འདས་པ་
འགན་རྒྱ་,གན་རྒྱ་
འགུག་,འགུགས་
འགེགས་,བཀག་གི་ད་ལྟ་བ་
འགེབས་,འགེབ་
འགྲེང་པོ་,འགྲེང་བུ་
འགྲེད་,རྐང་པ་སོགས་བརྡབས་པའི་དོན་གྱི་འདྲེད་
འགྲོང་,དགྲོང་གི་ད་ལྟ་བ་
འགྲོངས་,བཀྲོངས་ཀྱི་ད་ལྟ་བ་
འཆིང་ང་རྩེ་དྲུག་,འཕྱིང་བ་རྩེ་དྲུག་
འཆུན་,འཇུན་
འཆུར་བ་,འཇུར་
འཇབས་,ཡིབ་པའི་དོན་འཇབ་ཀྱི་འདས་པ་ལ་འཇུག་པའི་བཞབ་
འཇོང་བོ་,འཇོང་པོ་
འཇོས་,འཇོ་ཡི་སྐུལ་ཚིག་
འཐང་,མཐང་
འཐུག་,མཐུག་
འཐུག་པ་,མཐུག་པ་
འཐུག་པོ་,མཐུག་པོ་
འཐུད་,མཐུད་
འཐུན་,ཐུན་
འཐུབ་པ་,གཏུབ་པའི་ད་ལྟ་བ་
འཐུར་,མཐུར་
འཐོལ་,མཐོལ་
འདང་མ་འདང་,ལྡང་མ་ལྡང་
འདང་ཙམ་,ལྡང་ཙམ་
འདོད་རྔམས་,འདོད་རྔམ་
འདྲིད་པ་,འབྲིད་
འདྲུ་,འབྲུ་,བྲུ་
འདྲེག་པ་,འབྲེག་པ་
འཕལ་ཀ་,འཕལ་ཁ་
འཕེལ་ཀ་,འཕེལ་ཁ་
འཕྱགས་,འཕྱག་གི་འདས་པ་
འཕྱར་ཁ་,འཕྱར་ཀ་
འཕྱེན་,ཕྱེན་
འཕྲ་,ཕྲ་རྒྱན་གྱི་ཕྲ་
འཕྲུ་,ཕྲུ་
འཕྲུལ་བློན་མཛངས་མི་བདུན་,འཕྲུལ་བློན་མཛངས་པའི་མི་བདུན་
འབབ་ཆུ་,རྦབ་ཆུ་
འབིགས་,འབིག་
འབུག་,འབིག་
འབུག་པ་,འབིགས་པའི་ད་ལྟ་བའི་བྱ་མིང་
འབུགས་,བུ་ག་བརྟོལ་བའི་དོན་གྱི་འབིགས་
འབྱི་,འདག་པར་བྱེད་པའི་དོན་དུ་གོ་བའི་འབྱིད་པའི་མ་འོངས་པ་
འབྱོར་བ་བཅུ་,འབྱོར་པ་བཅུ་
འབྲང་བཏབ་པ་,བྲང་བཏབ་པ་
འབྲས་བུར་གྱུར་པའི་རྟེན་འབྲེལ་ཡན་ལག་བདུན་,།རྟེན་འབྲེལ་ཡན་ལག་འབྲས་བུར་གྱུར་པ་བདུན་
འབྲི་ཁུང་,འབྲི་གུང་
འབྲུད་,བུ་ག་བརྐོ་བའི་དོན་གྱི་འབྲུ་
འབྲོབ་,རྟ་དྲེལ་སོགས་ལ་ལྕག་གིས་རྡུང་བའི་དོན་འབྲབ་
འཚང་ག་,འཚང་ཁ་
འཚེད་,འཚོད་
འཚེར་མོ་,ཚེར་མོ་
འཚོ་བཅངས་ཀྱི་སྨན་,འཚོ་བཅང་གི་སྨན་
འཚོབ་,གསོབ་
འཛགས་,དངོས་རྫས་ཚགས་ལ་དྲངས་ནས་རགས་ཞིབ་བམ་དྭངས་སྙིགས་འབྱེད་པའི་དོན་གྱི་ད་ལྟ་བ་
འཛེར་,མཛེར་
འོད་སྲུངས་,འོད་སྲུང་
འོད་སྲུངས་བྱིན་,འོད་སྲུང་བྱིན་
འོད་སྲུངས་རྒྱུད་,འོད་སྲུང་རྒྱུད་
ཡེ་འབྲོག་,ཡེ་འདྲོག་
ཡེག་,ཡེགས་
ཡེང་,ཡེངས་
ཡེལ་,གཡེལ་
ར་གདང་,ར་རྡང་
རག་,རགས་
རགས་ཁ་,ཆུ་འགོག་བྱེད་ཀྱི་རག་
རམས་ཕྱིས་,རམ་ཕྱིས་
རིག་འཛིན་ཀུན་ཛ་ར་,རིག་འཛིན་ཀུཉྫར་
རུ་གུ་,རེའུ་ཞེས་པ་
རེ་མིག་,རེའུ་མིག་
རེ་མོས་,རེས་མོས་
རྐང་འབམ་,རྐང་བམ་
རྐུབ་ཙོས་,རྐུབ་ཚོས་
རྐེད་,སྐེད་
རྐྱ་བ་,སྐྱ་བ་
རྐྱ་མི་,སྐྱ་མི་
རྐྱག་པ་,སྐྱག་པ་
རྒས་ཀ་,རྒས་ཁ་ཞེས་པ་
རྒོ་བ་,རི་དྭགས་དགོ་བ་
རྒོད་,དགོད་
རྒྱ་མོ་ཨོང་ཇོ་,བོད་ཀྱི་རྒྱལ་པོ་སྲོང་བཙན་སྒམ་པོའི་བཙུན་མོ་རྒྱ་བཟའ་ཀོང་ཇོ་
རྒྱགས་,བརྒྱགས་
རྒྱགས་ཕྱེ་,བརྒྱགས་ཕྱེ་
རྒྱལ་དམ་,རྒྱལ་ཐང་
རྒྱལ་སྒོ་,རྒྱ་སྒོ་
རྒྱུ་,བསྟར་ལ་བསྒྲིགས་པའི་དོན་གྱི་རྒྱུད་ཀྱི་ད་ལྟ་བ་
རྒྱུ་བ་,བསྟར་ལ་བརྒྱུས་པའི་དོན་གྱི་རྒྱུད་ཀྱི་བྱ་མིང་
རྒྱུར་གྱུར་པའི་རྟེན་འབྲེལ་ཡན་ལག་ལྔ་,།རྟེན་འབྲེལ་ཡན་ལག་རྒྱུར་གྱུར་པ་ལྔ་
རྔ་མོ་,རྔ་མོང་
རྔན་ཅན་,རྔན་ཆེན་
རྔན་ཆན་,རྔན་ཆེན་
རྔན་བསྒྲང་བ་,མངན་བགྲང་བ་ཞེས་པ་
རྔུར་,གཉིད་ལོག་ནས་མགྲིན་པ་དང་ཁ་སྣ་སོགས་ནས་སྒྲ་འབྱིན་པའི་དོན་གྱི་སྔུར་
རྔོ་,རྔོད་
རྗིད་པ་,རྗུད་པ་
རྙ་ལོ་,སྙ་ལོ་
རྙན་,རི་དྭགས་གཉན་
རྟེན་འབྲེལ་ཡན་ལག་འབྲས་བུར་གྱུར་པ་བདུན་,འབྲས་བུར་གྱུར་པའི་རྟེན་འབྲེལ་ཡན་ལག་
རྟེན་འབྲེལ་ཡན་ལག་རྒྱུར་གྱུར་པ་ལྔ་,།རྒྱུར་གྱུར་པའི་རྟེན་འབྲེལ་ཡན་ལག་ལྔ་
རྟོག་མེད་ཡིད་ཤེས་འཁྲུལ་བ་,རྟོག་མེད་ཡིད་ཤེས་འཁྲུལ་པ་
རྡུང་ག་,རྡུང་ཁ་
རྡེབས་,རྡེབ་ཀྱི་སྐུལ་ཚིག་
རྡོལ་བོན་,བརྡོལ་བོན་
རྣ་གཡག་,གནའ་གཡག་
རྣ་བ་,གནའ་བ་
རྣ་རུ་,ན་རོ་
རྦ་བཞེད་,སྦ་བཞེད་
རྦོ་,སྦོ་
རྦོས་,སྦོས་
རྨངས་ཚེར་,རྨང་ཚེར་
རྨར་ཁམས་,སྨར་ཁམས་
རྨས་,རྨེད་ཀྱི་འདས་པ་
རྨི་ལི་,མུ་ལི་
རྨུན་,དམུན་
རྨུས་,དམུས་
རྨེད་,རྨོད་ཀྱི་སྐུལ་ཚིག་
རྨོངས་,རྨོང་
རྨོངས་སྤུ་,རྨོང་སྤུ་
རྨོན་,རྨོ་ཡི་ད་ལྟ་བ་
རྨོའོ་ལགས་,རྨོ་ལགས་
རྩ་འགངས་,རྩ་འགང་
རྩ་སྦུག་,རྩ་སྦུབས་
རྩི་ཐོག་,རྩི་ཏོག་
རྩི་དམར་ཟིལ་བ་,རྩི་དམར་ཟིལ་པ་
རྩེལ་,སྩེལ་
རྫུབ་,རྫུབས་
རྫོངས་ཏ་,རྫོངས་སྟ་
རླུང་གཡོར་,རླུང་ཡོར་
རླུང་ཡབ་,རླུང་གཡབ་
རློག་,རླག་
ལ་བ་,ལྭ་བ་
ལ་བཙས་,ལབ་རྩེ་
ལག་ཁྱེར་,ལག་འཁྱེར་
ལག་བཅག་,ལག་ལྕག་
ལག་བརྟེན་,ལག་རྟེན་
ལག་སག་,ལག་གསག་
ལམ་སངས་,ལམ་སང་
ལས་ཀྱི་རང་བཞིན་ཡིན་པའི་རྟེན་འབྲེལ་ཡན་ལག་གཉིས་,རྟེན་འབྲེལ་ཡན་ལག་ལས་ཀྱི་རང་བཞིན་གཉིས་
ལིང་ཐོག་,ལིང་ཏོག་
ལེ་དབར་,ལེ་བར་
ལེའུ་ཐོ་,ལི་ཐོ་
ལོ་ཀག་,ལོ་ཀེག་
ལོ་ཐོ་,ལི་ཐོ་
ལོ་ཐོག་,ལོ་ཏོག་
ལོ་ཙྪ་བ་,ལོ་ཙཱ་བ་
ལོ་སྐེག་,ལོ་ཀེག་
ལོ་སྐྱེག་,ལོ་ཀེག་
ལོང་ཀ་,ལོང་ག་
ལོང་ཁ་,ལོང་ག་
ལོང་ཁྲིད་,ལོང་འཁྲིད་
ལྐུག་,ལྐུགས་
ལྒང་སྦུག་,ལྒང་ཕུག་
ལྕགས་པོད་,ལྕགས་ཕོད་
ལྕིད་,ལྗིད་
ལྕུང་ཀ་,སྐྱུང་ཀ་
ལྕུང་ག་,སྐྱུང་ཀ་
ལྗང་,འཇང་
ལྗང་ཁུ་,ལྗང་གུ་
ལྟབ་,ལྟེབ་
ལྟེངས་ཀ་,ལྟེང་ཀ་
ལྟོང་ཀ་,ལྟོང་ག་
ལྟོབས་,ལྟེབ་ཀྱི་སྐུལ་ཚིག་
ལྟོམས་,ལྟེམ་གྱི་སྐུལ་ཚིག་
ལྡེའུ་མིག་,ལྡེ་མིག་
ལྦོས་,སྦོས་
ལྷང་འཚེར་,མདོག་ལ་བལྟོས་ནས་བཏགས་པའི་ལྷང་ཚེར་རིགས་གསུམ་གྱི་སྤྱི་མིང་
ལྷུགས་,བླུག་གི་སྐུལ་ཚིག་
ལྷེབས་,ལྷབས་
ལྷེས་,ལྷས་
ལྷོགས་,ཀློགས་,རློགས་
ཤ་ཁོན་,ཤ་འཁོན་
ཤ་མོང་,ཤ་མོ་
ཤ་འཛེར་,ཤ་མཛེར་
ཤིང་ཁོ་,ཤིང་རྐོ་
ཤོ་ལི་,ཤོ་ཀ་ལི་
ཤོག་ཀ་ལི་,ཤོ་ཀ་ལི་
ཤོགས་ཀ་,ཤོག་ཀ་
ཤོངས་,གཤོང་གི་སྐུལ་ཚིག་
ཤོམ་,གཤོམ་
ཤླཽ་ཀ་,ཤོ་ལོ་ཀ་
སམྦྷོཊ་,སམ་བྷོ་ཊ་ཞེས་པ་
སི་ཏ་,ཆུ་བོ་སི་ཏཱ་
སི་པན་,སུ་པན་
སུང་,སུངས་
སེ་ར་,སེར་བ་
སེག་མ་,ཟེགས་མ་
སེབ་,གསེབ་
སེར་ཁ་,སེར་ཀ་
སེར་ཁ་མ་,སེར་ཀ་མ་
སེར་འཕྲེང་,བླ་མ་སོགས་ཕེབས་བསུ་བྱེད་སྐབས་སེར་མོ་པའམ་གྲྭ་པ་རྣམས་ཕྲེང་བསྒྲིགས་པའི་སེར་ཕྲེང་
སེར་སྐམ་མ་,སེར་ཀ་མ་དང་སེར་ཁ་མ་
སོ་ཀ་,སོས་ཀ་
སོ་ག་,སོས་ཀ་
སོ་ཉུལ་,སོ་མྱུལ་
སོག་,གསོག་གི་སྐུལ་ཚིག་
སོགས་,གསོགས་
སོམ་གཞིག་,བསམ་གཞིག་
སོས་,གསོ་ཡི་སྐུལ་ཚིག་གསོས་
སཾ་ཀྲྀ་ཏི་,ལེགས་སྦྱར་སཾསྐྲྀཏ་ལྷའི་སྐད་
སྐ་ཅིག་,སྐད་ཅིག་
སྐང་ར་,འཁང་ར་
སྐེག་,སྐག་,སྐག་
སྐེད་པ་,རྐེད་པ་
སྐེད་སོ་,རྐེད་སོ་
སྐེམས་,སྐེམ་གྱི་སྐུལ་ཚིག་སྐོམས་
སྐྱ་ག་,སྐྱ་ཀ་
སྐྱང་,རྐྱང་
སྐྱི་བསེར་,སྐྱི་སེར་
སྐྱིགས་པ་,སྐྱིག་པ་
སྐྱིན་ཁབ་,སྐྱིང་ཁབ་
སྐྱིན་ཁེབ་,སྐྱིང་ཁབ་
སྐྱུང་བོ་,སྐྱུང་བུ་
སྐྱེ་ཀ་,སྐྱ་ཀ་
སྐྱེ་ཚེ་,སྐེ་ཚེ་
སྐྱེ་སྐར་,སྐྱེས་སྐར་
སྐྱེགས་,སྐེགས་
སྐྱེད་ཁ་,སྐྱེད་ཀ་
སྐྱོ་སངས་,སྐྱོ་བསང་
སྐྱོ་སེང་,སྐྱོ་བསང་
སྐྱོང་བུ་,ཀྱོང་བུ་
སྐྲུག་,དཀྲུག་
སྒང་,རྒང་
སྒྱིད་པུ་,སྒྱེད་པུ་
སྒྱུངས་,རྒྱུངས་
སྒྲིམ་པོ་,གྲིམ་པོ་
སྙབ་སྙབ་,རྙབ་རྙབ་
སྙིང་ག་,སྙིང་ཁ་
སྙུགས་མ་,གཉུག་མ་
སྙེགས་,སྙེག་གི་སྐུལ་ཚིག་
སྙེན་སྲིང་,བསྙེན་བསྲིང་
སྙོམས་པོ་,སྙོམ་པོ་
སྙོལ་,སྙལ་
སྟག་གཟིག་,ཏ་ཟིག་
སྟག་བུ་སྙ་གཟིགས་,བཙན་པོ་སྟག་རི་གཉན་གཟིགས་མཚན་
སྟངས་པོ་,
སྟར་ཁ་,སྟར་ཀ་
སྟར་ག་,སྟར་ཀ་
སྟི་ཀ་,སྟི་ག་
སྟོན་ཀ་,སྟོན་ཁ་
སྡིགས་,སྡིག་གི་ད་ལྟ་བ་
སྣ་ག་,སྣ་ཁ་
སྣ་འཇུ་,སྣ་གཅུ་
སྣ་རོ་,ན་རོ་
སྣ་ལེན་,སྣེ་ལེན་
སྣེ་རྒོད་,སྣེའུ་རྒོད་
སྣེའུ་གདོང་,སྣེ་གདོང་
སྣོག་ཟན་,རྣོག་ཟན་
སྤར་,པར་
སྤར་མ་,པར་མ་
སྤུ་རངས་,སྤུ་ཧྲེང་
སྤུ་རེངས་,སྤུ་ཧྲེང་
སྤེ་ལིང་,པེ་ལེན་
སྤོ་ཏོ་,པོ་ཐོ་
སྤོ་ཐོ་,པོ་ཐོ་
སྤོམ་ཐག་,སྤོང་ཐག་
སྤྱང་ཁུ་,སྤྱང་ཀི་
སྤྱང་ཐག་,དཔྱང་ཐག་
སྤྱི་གཅེར་,སྤྱི་ཅེར་
སྤྱི་ཆེར་,སྤྱི་ཅེར་
སྤྱི་བཏང་,སྤྱིར་བཏང་
སྤྱི་ལོ་,ཕྱི་ལོ་
སྤྱིའུ་བླུགས་,སྤྱི་བླུགས་
སྤྱིའུ་ཚུགས་,སྤྱི་ཚུགས་
སྤྲེ་,སྤྲེའུ་
སྤྲེ་མོང་,སྲེ་མོང་
སྦག་ཆེན་,ཇ་བག་ཆེན་
སྦར་མོ་,སྤར་མོ་
སྦིད་པ་,སྦུད་པ་
སྦུག་ཆོལ་,སྦུག་ཆལ་
སྦུང་,འབུང་
སྦུབ་ཆ་,སྦུག་ཆལ་
སྦུབ་ཆོལ་,སྦུབ་ཆལ་
སྦུར་བ་,སྦུར་མ་
སྦུས་རུ་,བར་དབུས་གཙང་རུ་བཞིའི་ནང་གསེས་དབུ་རུ་
སྦེ་ཁ་,སྦེ་ཀ་
སྦེ་ག་,སྦེ་ཀ་
སྦྱར་ཀ་,སྦྱར་ཁ་
སྦྲད་, འབྲད་
སྦྲེང་ཚར་,སྦྲེངས་ཚར་
སྨང་ཚེར་,སྨང་ཙེར་
སྨན་ཙེ་,མན་ཙེ་
སྨི་ལི་,མུ་ལི་
སྨུགས་པ་,སྨུག་པ་
སྨེད་,རྨེད་
སྨོད་འདྲིན་,སྨོན་འདྲིན་
སྨོན་འགྲིན་,སྨོན་འདྲིན་
སྨྱང་,རྨྱང་
སྨྱན་ཁ་,སྨྱན་ཀ་
སྨྱན་ག་,སྨྱན་ཀ་
སྨྱུག་གུ་,སྨྱུ་གུ་
སྲབ་སྐྱོག་,སྲབ་སྐྱོགས་
སྲེ་མོ་,སྲེ་མོང་
སྲོ་ཁང་,བསྲོ་ཁང་
སྲོ་གང་,བསྲོ་ཁང་
སྲོལ་ཀ་,སྲོལ་ཁ་
སླ་,སླེ་ཡི་ད་ལྟ་བ་
སླག་པ་,སློག་པ་
སློས་,སླེས་
ཧྲང་,ཧྲེང་
ཨ་ཀི་,ཨང་ཀི་
ཨ་ཆོར་,ཨ་ཅོར་
ཨ་ལྕོག་,ཨ་མཆོག་
ཨན་ཏར་,ཨན་རྡར་
ཨན་དར་,ཨན་རྡར་
ཨར་ག་,ཨར་ཀ་
ཨུ་པཱ་ས་ཀ་,ཨུཔཱསིཀ་
ཨུར་ཆ་,འུར་ཆ་
ཨེ་ནྱ་ཡ་,ཨེ་ན་ཡ་
ཨོ་རྒྱན་,ཨུ་རྒྱན་
ཨོག་སྐོར་,ཨོག་ཀོར་
ཨོལ་རྔམས་,འོལ་རྔམས་
གནོད་སྦྱིན་སྡེ་ཚན་སྒྲུབ་པའི་ལེའུ་,གནོད་སྦྱིན་སྡེ་ཚན་བསྒྲུབ་པའི་ལེའུ་ཞེས་པ་
པྲྀ་ཐི་ཝཱི་ཨོ་ཛཿ་,པྲྀ་ཐི་བཱི་ཨོ་ཛཿ་
གདམས་ངག་འབོག་པའི་བྱུང་ཚུལ་,ཞེས་པ་
གདམས་ངག་དབོག་པའི་བྱུང་ཚུལ་,ཞེས་པ་
གདམས་ངག་དཔོག་ཐབས་ཀྱི་བྱུང་ཚུལ་,ཞེས་པ་
ཁྱད་པར་རྩལ་འཕགས་ཀྱི་བྱུང་ཚུལ་,ཞེས་པ་
གདམས་ངག་དབོག་ཐབས་ཀྱི་བྱུང་ཚུལ་བཅུ་གཉིས་,ཞེས་པ་
གདམས་ངག་དབོག་པའི་བྱུང་ཚུལ་བཅུ་གཉིས་,ཞེས་པ་
ཁྱད་པར་རྩལ་འཕགས་ཀྱི་བྱུང་ཚུལ་བཅུ་གཉིས་,ཞེས་པ་
བཅོམ་ལྡན་འདས་མངོན་པར་སྤྲོ་བའི་རྒྱལ་པོ་,ཞེས་པ་
སངས་རྒྱས་རྣམ་པར་སྤྲོས་པའི་རྒྱལ་པོ་,ཞེས་པ་
རྔོམ་ཉི་ཤུ་,རྔམ་ཉི་ཤུ་
སྲོག་འཛིན་གྱི་རླུང་ལྔ་,སྲོག་འཛིན་པའི་རླུང་ལྔ་
ཕྱི་ནང་ཀུན་གྱི་ཁྱབ་བྱེད་ཀྱི་མེ་,ཕྱི་ནང་ཀུན་ཏུ་ཁྱབ་བྱེད་ཀྱི་མེ་
ཡི་གེ་མེད་པའི་སྙན་བརྒྱུད་,ཡི་གེ་མེད་པའི་སྙན་རྒྱུད་
བཤད་བརྒྱུད་,བཤད་རྒྱུད་
བརྡལ་བ་དབྱིངས་ཀྱི་སྐུ་,གདལ་བ་དབྱིངས་ཀྱི་སྐུ་
རྡོ་རྗེ་འཛིན་གྱི་ས་,རྡོ་རྗེ་འཛིན་པའི་ས་
པྲྀ་ཐི་ཝཱི་རཱ་སཿ་,པྲྀ་ཐི་བཱི་རཱསཿ་
ཙནྡན་དཀར་པོ་,ཙན་དན་དཀར་པོ་
རག་ཤ་སེང་གདོང་,རཀྵ་སེང་གདོང་
པྲྀ་ཐི་ཝཱི་མཎྜཿ་,པྲྀ་ཐི་བཱི་མཎྜཿ་
འཁོར་ལོ་གློག་གི་འཕྲེང་བ་,འཁོར་ལོ་གློག་གི་ཕྲེང་བ་ཞེས་པ་
པྲྀ་ཐི་ཝཱི་,པྲྀ་ཐི་བཱི་
པྲྀ་ཐི་ཝཱི་པརྤ་ཊཿ་,པྲྀ་ཐི་བཱི་སརྦ་ཊ་ཀཿ་
ཁེངས་སྐྱུངས་,ཁེངས་སྐྱུང་
རྗེས་སུ་འབྲངས་,རྗེས་སུ་འབྲང་བ་
ཅིག་ཆར་,ཅིག་ཅར་
སིངས་པོ་,སིང་པོ་
ལྗང་བ་,ལྗང་པ་
སྐྱོ་ངོགས་,སྐྱོ་སྔོགས་
ལྕོག་ཙེ་,ཅོག་ཙེ་
འགྲང་ལྟོགས་,འགྲངས་ལྟོགས་
འགྲིགས་པོ་,འགྲིག་པོ་
འཆུར་ར་,འཆུར་བ་
འཇལ་པ་,འཇལ་གྱི་བྱ་མིང་
འཇུམས་,འཇུམ་
འཇུམས་པ་,འཇུམ་པའི་ད་ལྟ་བ་
འཐུན་པ་,མཐུན་པ་
འདེངས་,འགྲོ་བའི་དོན་གྱི་འདོང་
འདྲངས་པ་,འགྲངས་
འདྲལ་པ་,འདྲལ་བ་
འཕྱོར་,མཆོར་
འབམ་ཚོང་སྤུས་བསྒྱུར་,འབམ་ཚོང་སྤུས་སྒྱུར་
འབིགས་པ་,འབིག་གི་བྱི་མིང་
འབྲོབ་པ་,འབྲབ་པ་
འཚིགས་པ་,འཚིག་པའི་འདས་པ་
ཡ་ཡ་པོ་,ཡ་ཡ་བོ་
ཡུ་མོ་མདེ་འབྱིན་,ཡུ་མོ་མདེའུ་འབྱིན་
ཡོག་རིག་སྲུམས་,བསམ་
ཙ་མ་རཱི་,ཙ་མ་རཱིཿ
ཙ་རི་ཏྲ་,ཙཱ་རི་ཏྲ་
ཙབྱཱ་,ཙ་བྱཱ་
ཙིཏྟ་མ་ཎི་,ཙིན་ཏ་མ་ཎི་
ཚམ་རྔམས་,ཚམ་རྔམ་
ཚམས་རྔམས་,ཚམ་རྔམ་
ཛ་ལནྔྷ་ར་,ཛ་ལན་དྷ་ར་
ཝུན་ཁྲེན་ཀོང་ཇོ་,གོང་གི་ཝུན་ཤིང་ཀོང་ཇོ་
ཞལ་ད་,ཞལ་ཏ་
འཁུགས་,ཁུག་གི་ད་ལྟ་བ་
འཁྲང་,མཁྲང་
འགེངས་པ་,འགེང་
འགེབས་པ་,འགེབ་པ་
འགེབས་བྱེད་,འགེབ་བྱེད་
འགེབས་སྲུང་,འགེབ་སྲུང་
འདྲངས་,འགྲངས་
དཀྱུས་ས་,དཀྱུ་ས་
དགོང་ག་,དགོང་ཀ་
བཀའ་འཆིད་,བཀའ་མཆིད་
བཀོད་ཇུས་,བཀོད་བྱུས་
མཁྲང་ཐེང་,མཁྲང་ཐང་
མཆོད་རྐོང་,མཆོད་ཀོང་
མཉེད་པ་,ཉེད་པ་
མཉེལ་པ་,མཉེལ་བ་
དཀྱིག་,བཀྱིག་
ཀཽཎ་ཎྜི་ནྱ་,ཀུན་ཤེས་ཀཽཎྜི་ནྱ་
ཀྲྀ་ཏ་ཡུ་གཾ་,ཀྲྀ་ཏ་ཡུ་གམ྄་
ཀྲོ་ཀྲི་ཏ་,ཡིད་ལ་ཉར་བའི་དོན་གྱི་གཅག་གི་ད་ལྟ་བ་
ཀྲོན་པའི་རུས་པ་,སྐྲོན་པའི་རུས་པ་
ཁ་ཆེ་ཨ་ནནྡ་,ཁ་ཆེ་ཨཱ་ནནྡ་
ཁ་ཏི་ཀ་,ཁ་ཏི་ཁ་བ་
ཁ་དོག་རྒྱལ་བོ་,ཁ་དོག་རྒྱལ་པོ་
ཁ་བའི་ཕྱེ་མ་,ག་པར་
ཁུག་སྟ་,ཁུག་རྟ་
ཁུམ་འཕྲིག་,ཁུ་འཕྲིག་
ཁོགས་,ཁོག་
ཁྲི་སྤྲུལ་བློ་བཟང་རྒྱལ་མཚན་སེངྒེ་,ཁྲི་སྤྲུལ་བློ་བཟང་རྒྱལ་མཚན་སེང་གེ་
ཁྲིམས་རྔའི་ཁང་བ་,ཁྲིམས་རྔའི་ཁང་པ་ཞེས་པ་
ཁྲོག་ཆུང་པ་,ཁྲོག་ཆུང་བ་
གང་ལ་དེ་འཚམས་,གང་ལ་དེ་འཚམ་ཞེས་པ་
གཅགས་,གཅག་
གཉན་ཐུབ་རྒྱལ་བོ་,གཉན་ཐུབ་རྒྱལ་པོ་ཞེས་པ་
གཉན་ཡོད་,སྔོན་རྒྱ་གར་གྱི་གྲོང་ཁྱེར་ཆེན་མོ་དྲུག་ཅེས་པའི་ནང་གསེས་མཉན་ཡོད་ཅེས་པ་
གཉའ་བསྐྱིས་འཇོམས་,བརྙན་བསྐྱིས་འཇོམས་པ་ཞེས་པ་
གཉི་བ་,སྙི་བ་
གཏིགས་པ་,གཏིག་པའི་མ་འོངས་པ་
ཀརྐེ་ཏ་,ཀེ་ཏ་ཀ་ཞེས་པ་
ཀེམ་ཤང་ཁོང་ཅོ་,གྱིམ་ཤང་ཀོང་ཇོ་
ཀོང་ཅོང་,ཀོང་ཅོ་
ཀོང་བཅོ་,ཀོང་ཇོ་
རྐ་བླས་,བཀའ་བླས་
ཁུ་དབྱུག་,ཁུ་བྱུག་
